yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx
188302,5.68,0.32169999999999999,0.42499999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188303,5.75,0.32250000000000001,0.42249999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.6096293628415221E-3,NaN,NaN,NaN,NaN,NaN,NaN
188304,5.87,0.32329999999999998,0.42,NaN,NaN,NaN,NaN,NaN,NaN,4.3475598458733626E-3,NaN,NaN,NaN,NaN,NaN,NaN
188305,5.77,0.32419999999999999,0.41749999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.9269394705452139E-3,NaN,NaN,NaN,NaN,NaN,NaN
188306,5.82,0.32500000000000001,0.41499999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.5874914483505667E-3,NaN,NaN,NaN,NaN,NaN,NaN
188307,5.73,0.32579999999999998,0.41249999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188308,5.47,0.32669999999999999,0.41,NaN,NaN,NaN,NaN,NaN,NaN,3.1668710730224179E-3,NaN,NaN,NaN,NaN,NaN,NaN
188309,5.53,0.32750000000000001,0.40749999999999997,NaN,NaN,NaN,NaN,NaN,NaN,3.7793533739388461E-3,NaN,NaN,NaN,NaN,NaN,NaN
188310,5.38,0.32829999999999998,0.40500000000000003,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
188311,5.46,0.32919999999999999,0.40250000000000002,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
188312,5.34,0.33,0.4,NaN,NaN,NaN,NaN,NaN,NaN,3.8383878125813936E-3,NaN,NaN,NaN,NaN,NaN,NaN
188401,5.18,0.32829999999999998,0.39250000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188402,5.32,0.32669999999999999,0.38500000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.24804342615592E-3,NaN,NaN,NaN,NaN,NaN,NaN
188403,5.3,0.32500000000000001,0.3775,NaN,NaN,NaN,NaN,NaN,NaN,3.1447331585314625E-3,NaN,NaN,NaN,NaN,NaN,NaN
188404,5.0599999999999996,0.32329999999999998,0.37,NaN,NaN,NaN,NaN,NaN,NaN,3.0488021957373237E-3,NaN,NaN,NaN,NaN,NaN,NaN
188405,4.6500000000000004,0.32169999999999999,0.36249999999999999,NaN,NaN,NaN,NaN,NaN,NaN,3.1225952440405071E-3,NaN,NaN,NaN,NaN,NaN,NaN
188406,4.46,0.32,0.35499999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.3734916082713328E-3,NaN,NaN,NaN,NaN,NaN,NaN
188407,4.46,0.31830000000000003,0.34749999999999998,NaN,NaN,NaN,NaN,NaN,NaN,3.8826636415633035E-3,NaN,NaN,NaN,NaN,NaN,NaN
188408,4.74,0.31669999999999998,0.34,NaN,NaN,NaN,NaN,NaN,NaN,4.0302497381696717E-3,NaN,NaN,NaN,NaN,NaN,NaN
188409,4.59,0.315,0.33250000000000002,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188410,4.4400000000000004,0.31330000000000002,0.32500000000000001,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188411,4.3499999999999996,0.31169999999999998,0.3175,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
188412,4.34,0.31,0.31,NaN,NaN,NaN,NaN,NaN,NaN,3.4694225710654725E-3,NaN,NaN,NaN,NaN,NaN,NaN
